pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381736891,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/svdcmp.c.i.svdcmp.pl.t2.fixed.t2.smt2,5152987,Ctrl,3723,Transition,23757,run script error,0.0,0.0,0.0,--,-
381736893,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/svdcmp.c.i.svdcmp.pl.t2.fixed.t2.smt2,5152987,VeryMax-termCOMP17,9339,termcomp17,165578,complete,269.194795,206.174646854,1.37547776E9,MAYBE,252
381736895,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/svdcmp.c.i.svdcmp.pl.t2.fixed.t2.smt2,5152987,irankfinder v1,19699,default.sh,300662,run script error,0.0,0.0,0.0,--,-
381736897,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/refine_disj_problem.t2.smt2,5152988,Ctrl,3723,Transition,23757,complete,2.301236472,2.17095899582,1.9369984E7,MAYBE,1718
381736899,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/refine_disj_problem.t2.smt2,5152988,VeryMax-termCOMP17,9339,termcomp17,165578,complete,6.986377,4.64915013313,5.53484288E8,NO,7725
381736901,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/refine_disj_problem.t2.smt2,5152988,irankfinder v1,19699,default.sh,300662,complete,0.945922106,0.946496963501,2.7406336E7,MAYBE,290
381736903,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/e-pgarch-succeed.t2.smt2,5152989,Ctrl,3723,Transition,23757,complete,40.740981064,38.2329559326,2.7799552E7,MAYBE,16410
381736905,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/e-pgarch-succeed.t2.smt2,5152989,VeryMax-termCOMP17,9339,termcomp17,165578,complete,0.115326672,0.0874979496002,4.3442176E7,NO,7189
381736907,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/e-pgarch-succeed.t2.smt2,5152989,irankfinder v1,19699,default.sh,300662,complete,10.136539562,10.1386489868,4.1435136E7,MAYBE,287
381736909,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/ex8.t2.smt2,5152990,Ctrl,3723,Transition,23757,complete,6.150551465,5.78211593628,2.5649152E7,MAYBE,4844
381736911,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/ex8.t2.smt2,5152990,VeryMax-termCOMP17,9339,termcomp17,165578,complete,3.155302799,1.09841394424,8.9096192E7,NO,4871
381736913,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/ex8.t2.smt2,5152990,irankfinder v1,19699,default.sh,300662,complete,2.356719997,2.35894799232,3.1080448E7,MAYBE,290
381736915,S-Integer Transition Systems-2018-07-12 01:17:41.747653 UTC/Integer_Transition_Systems/From_T2/ex15.t2.smt2,5152991,Ctrl,3723,Transition,23757,complete,0.017348307,0.0201489925385,4284416.0,YES,735
