pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,output-size
381732195,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel12.xml,5166242,AProVE,20177,certified,302125,complete,1164.3801615,292.863979101,1.6785211392E10,MAYBE,-,-,-
381732199,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel12.xml,5166242,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,145.523132313,67.3357858658,9.96450304E8,MAYBE,-,-,-
381732203,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel10.xml,5166243,AProVE,20177,certified,302125,complete,28.487578426,7.88863897324,3.283525632E9,YES,CERTIFIED,0.0,10614
381732207,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel10.xml,5166243,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,5.602354781,1.68726682663,8.77297664E8,YES,CERTIFIED,0.0,17318
381732211,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel11.xml,5166244,AProVE,20177,certified,302125,timeout (cpu),1223.89135382,301.007568121,1.6695795712E10,MAYBE,-,-,-
381732215,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel11.xml,5166244,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,145.493114819,67.4263329506,9.36312832E8,MAYBE,-,-,-
381732219,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel08.xml,5166245,AProVE,20177,certified,302125,complete,10.529104586,3.4324798584,1.193603072E9,YES,CERTIFIED,0.0,13491
381732223,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel08.xml,5166245,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,11.049920765,3.04309606552,8.54310912E8,YES,CERTIFIED,0.0,39280
381732227,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel06.xml,5166246,AProVE,20177,certified,302125,complete,35.786850003,9.75376796722,4.10996736E9,YES,CERTIFIED,0.0,126948
381732231,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel06.xml,5166246,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,143.139162849,67.3549859524,4.43420672E8,MAYBE,-,-,-
381732235,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel05.xml,5166247,AProVE,20177,certified,302125,complete,13.702626004,4.268887043,1.618731008E9,YES,CERTIFIED,0.0,16511
381732239,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel05.xml,5166247,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,4.710260785,1.44716405869,3.14867712E8,YES,CERTIFIED,0.0,34405
381732243,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel02.xml,5166248,AProVE,20177,certified,302125,complete,11.245208609,3.56767296791,1.188605952E9,YES,CERTIFIED,0.0,42322
381732247,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel02.xml,5166248,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,142.736339081,67.3416140079,7.27625728E8,MAYBE,-,-,-
381732251,S-SRS Relative certified-2018-07-12 01:13:14.732509 UTC/SRS_Relative/Zantema_06_relative/rel13.xml,5166249,AProVE,20177,certified,302125,complete,7.030197101,2.63681411743,6.04811264E8,YES,CERTIFIED,0.0,15996
