benchmark,solver,configuration,configuration id,status,result,wallclock time,cpu time,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc.xml,NaTT,Default,228408,complete,YES,0.03,0.05,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc.xml,ttt2-1.19,ttt2,325890,complete,YES,10.19,2.97,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc.xml,Wanda 2.1c,default,326231,complete,YES,0.37,0.37,
TRS_Standard/CiME_04/list-sum-prod-assoc-append.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/list-sum-prod-assoc-append.xml,AProVE,standard,302124,complete,YES,3.88,2.09,
TRS_Standard/CiME_04/list-sum-prod-assoc-append.xml,muterm 6.0.3,default,326595,complete,YES,0.02,0.02,
TRS_Standard/CiME_04/list-sum-prod-assoc-append.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/CiME_04/list-sum-prod-assoc-append.xml,ttt2-1.19,ttt2,325890,complete,YES,1.89,0.82,
TRS_Standard/CiME_04/list-sum-prod-assoc-append.xml,Wanda 2.1c,default,326231,complete,YES,0.93,0.93,
TRS_Standard/CiME_04/dpqs.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/dpqs.xml,AProVE,standard,302124,complete,YES,3.33,1.56,
TRS_Standard/CiME_04/dpqs.xml,muterm 6.0.3,default,326595,complete,YES,0.01,0.01,
TRS_Standard/CiME_04/dpqs.xml,NaTT,Default,228408,complete,YES,0.01,0.03,
TRS_Standard/CiME_04/dpqs.xml,ttt2-1.19,ttt2,325890,complete,YES,0.94,0.53,
TRS_Standard/CiME_04/dpqs.xml,Wanda 2.1c,default,326231,complete,YES,0.10,0.10,
TRS_Standard/CiME_04/ternary.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/ternary.xml,AProVE,standard,302124,complete,YES,4.65,2.03,
TRS_Standard/CiME_04/ternary.xml,muterm 6.0.3,default,326595,complete,YES,0.88,0.95,
TRS_Standard/CiME_04/ternary.xml,NaTT,Default,228408,complete,YES,0.03,0.08,
TRS_Standard/CiME_04/ternary.xml,ttt2-1.19,ttt2,325890,complete,YES,7.33,2.35,
TRS_Standard/CiME_04/ternary.xml,Wanda 2.1c,default,326231,complete,YES,0.53,0.54,
TRS_Standard/CiME_04/filliatre3.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/filliatre3.xml,AProVE,standard,302124,complete,YES,4.73,2.11,
TRS_Standard/CiME_04/filliatre3.xml,muterm 6.0.3,default,326595,complete,YES,0.09,0.10,
TRS_Standard/CiME_04/filliatre3.xml,NaTT,Default,228408,complete,YES,0.03,0.05,
TRS_Standard/CiME_04/filliatre3.xml,ttt2-1.19,ttt2,325890,complete,YES,8.65,2.55,
TRS_Standard/CiME_04/filliatre3.xml,Wanda 2.1c,default,326231,complete,YES,0.77,0.80,
TRS_Standard/CiME_04/list-sum-prod.xml,NTI,default,325861,complete,MAYBE,0.20,0.15,
TRS_Standard/CiME_04/list-sum-prod.xml,AProVE,standard,302124,complete,YES,3.80,2.33,
TRS_Standard/CiME_04/list-sum-prod.xml,muterm 6.0.3,default,326595,complete,YES,0.02,0.02,
TRS_Standard/CiME_04/list-sum-prod.xml,NaTT,Default,228408,complete,YES,0.02,0.03,
TRS_Standard/CiME_04/list-sum-prod.xml,ttt2-1.19,ttt2,325890,complete,YES,1.41,0.69,
TRS_Standard/CiME_04/list-sum-prod.xml,Wanda 2.1c,default,326231,complete,YES,0.18,0.18,
TRS_Standard/CiME_04/lse.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/lse.xml,AProVE,standard,302124,complete,YES,4.56,1.92,
TRS_Standard/CiME_04/lse.xml,muterm 6.0.3,default,326595,complete,YES,26.91,30.09,
TRS_Standard/CiME_04/lse.xml,NaTT,Default,228408,complete,YES,0.03,0.06,
TRS_Standard/CiME_04/lse.xml,ttt2-1.19,ttt2,325890,complete,YES,7.52,2.37,
TRS_Standard/CiME_04/lse.xml,Wanda 2.1c,default,326231,complete,YES,1.92,1.93,
TRS_Standard/CiME_04/mucrl1.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/mucrl1.xml,AProVE,standard,302124,complete,YES,7.60,3.39,
TRS_Standard/CiME_04/mucrl1.xml,muterm 6.0.3,default,326595,complete,YES,0.30,0.33,
TRS_Standard/CiME_04/mucrl1.xml,NaTT,Default,228408,complete,YES,0.79,0.75,
TRS_Standard/CiME_04/mucrl1.xml,ttt2-1.19,ttt2,325890,complete,YES,14.56,5.07,
TRS_Standard/CiME_04/mucrl1.xml,Wanda 2.1c,default,326231,complete,YES,127.42,127.47,
TRS_Standard/CiME_04/maude2.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/maude2.xml,AProVE,standard,302124,timeout (wallclock),
TRS_Standard/CiME_04/maude2.xml,muterm 6.0.3,default,326595,complete,MAYBE,162.33,162.54,
TRS_Standard/CiME_04/maude2.xml,NaTT,Default,228408,complete,MAYBE,0.08,0.25,
TRS_Standard/CiME_04/maude2.xml,ttt2-1.19,ttt2,325890,complete,MAYBE,390.05,99.41,
TRS_Standard/CiME_04/maude2.xml,Wanda 2.1c,default,326231,complete,MAYBE,1.88,1.90,
TRS_Standard/CiME_04/log2.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/log2.xml,AProVE,standard,302124,complete,YES,5.43,2.17,
TRS_Standard/CiME_04/log2.xml,muterm 6.0.3,default,326595,complete,YES,0.37,0.43,
TRS_Standard/CiME_04/log2.xml,NaTT,Default,228408,complete,YES,0.04,0.21,
TRS_Standard/CiME_04/log2.xml,ttt2-1.19,ttt2,325890,complete,YES,19.33,5.63,
TRS_Standard/CiME_04/log2.xml,Wanda 2.1c,default,326231,complete,YES,1.08,1.10,
TRS_Standard/CiME_04/append-wrong.xml,NTI,default,325861,complete,NO,0.21,0.16,
TRS_Standard/CiME_04/append-wrong.xml,AProVE,standard,302124,complete,NO,5.43,2.42,
TRS_Standard/CiME_04/append-wrong.xml,muterm 6.0.3,default,326595,complete,MAYBE,203.17,204.19,
TRS_Standard/CiME_04/append-wrong.xml,NaTT,Default,228408,complete,MAYBE,0.03,0.10,
TRS_Standard/CiME_04/append-wrong.xml,ttt2-1.19,ttt2,325890,complete,NO,1.58,0.74,
TRS_Standard/CiME_04/append-wrong.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.35,0.36,
TRS_Standard/CiME_04/list-sum-prod-assoc.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/list-sum-prod-assoc.xml,AProVE,standard,302124,complete,YES,3.82,1.71,
TRS_Standard/CiME_04/list-sum-prod-assoc.xml,muterm 6.0.3,default,326595,complete,YES,0.02,0.02,
TRS_Standard/CiME_04/list-sum-prod-assoc.xml,NaTT,Default,228408,complete,YES,0.02,0.04,
TRS_Standard/CiME_04/list-sum-prod-assoc.xml,ttt2-1.19,ttt2,325890,complete,YES,1.56,0.75,
TRS_Standard/CiME_04/list-sum-prod-assoc.xml,Wanda 2.1c,default,326231,complete,YES,0.37,0.37,
TRS_Standard/CiME_04/list-sum-prod-bin.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/list-sum-prod-bin.xml,AProVE,standard,302124,complete,YES,4.06,1.97,
TRS_Standard/CiME_04/list-sum-prod-bin.xml,muterm 6.0.3,default,326595,complete,YES,0.12,0.11,
TRS_Standard/CiME_04/list-sum-prod-bin.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/CiME_04/list-sum-prod-bin.xml,ttt2-1.19,ttt2,325890,complete,YES,4.23,1.45,
TRS_Standard/CiME_04/list-sum-prod-bin.xml,Wanda 2.1c,default,326231,complete,YES,0.40,1.20,
TRS_Standard/CiME_04/big.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/big.xml,AProVE,standard,302124,complete,YES,5.79,2.40,
TRS_Standard/CiME_04/big.xml,muterm 6.0.3,default,326595,complete,YES,0.51,0.53,
TRS_Standard/CiME_04/big.xml,NaTT,Default,228408,complete,YES,0.11,0.22,
TRS_Standard/CiME_04/big.xml,ttt2-1.19,ttt2,325890,complete,YES,22.13,6.59,
TRS_Standard/CiME_04/big.xml,Wanda 2.1c,default,326231,complete,YES,2.65,2.65,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc-distr-app.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/list-sum-prod-bin-assoc-distr-app.xml,AProVE,standard,302124,complete,YES,4.66,2.01,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc-distr-app.xml,muterm 6.0.3,default,326595,complete,YES,0.26,0.28,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc-distr-app.xml,NaTT,Default,228408,complete,YES,0.03,0.07,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc-distr-app.xml,ttt2-1.19,ttt2,325890,complete,YES,10.23,3.07,
TRS_Standard/CiME_04/list-sum-prod-bin-assoc-distr-app.xml,Wanda 2.1c,default,326231,complete,YES,0.51,0.52,
TRS_Standard/Beerendonk_07/12.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/Beerendonk_07/12.xml,AProVE,standard,302124,complete,YES,6.43,2.72,
TRS_Standard/Beerendonk_07/12.xml,muterm 6.0.3,default,326595,timeout (wallclock),
