pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,output-size
381918258,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/raML/queue.raml.xml,5159665,AProVE,20177,certified,302125,complete,13.998703416,4.85812187195,6.40282624E8,YES,CERTIFIED,0.0,92744
381918263,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/raML/appendAll.raml.xml,5159666,AProVE,20177,certified,302125,complete,3.294335707,1.69592499733,2.76590592E8,YES,CERTIFIED,0.0,5089
381918268,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/raML/subtrees.raml.xml,5159667,AProVE,20177,certified,302125,complete,3.921489731,1.85302305222,2.43027968E8,YES,CERTIFIED,0.0,7153
381918273,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/raML/rationalPotential.raml.xml,5159668,AProVE,20177,certified,302125,complete,3.726421016,1.75984096527,2.40259072E8,YES,CERTIFIED,0.0,6375
381918259,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/innermost4.xml,5159584,AProVE,20177,certified,302125,run script error,0.0,0.0,0.0,--,-,-,-
381918264,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/cade05.xml,5159585,AProVE,20177,certified,302125,complete,5.420386159,2.87570095062,3.56057088E8,YES,CERTIFIED,0.1,182489
381918269,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/test9.xml,5159586,AProVE,20177,certified,302125,complete,3.982381209,1.86803007126,2.54611456E8,YES,CERTIFIED,0.0,3969
381918274,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/gkg.xml,5159587,AProVE,20177,certified,302125,complete,3.501291425,1.62150096893,2.77065728E8,YES,CERTIFIED,0.0,2683
381918278,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/cade04.xml,5159588,AProVE,20177,certified,302125,complete,315.570685237,291.469940901,1.378152448E9,MAYBE,-,-,-
381918282,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/toyama.xml,5159589,AProVE,20177,certified,302125,complete,3.34698678,1.66403388977,2.726912E8,YES,CERTIFIED,0.0,2597
381918286,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/test10.xml,5159590,AProVE,20177,certified,302125,complete,3.947315769,1.80607509613,2.41381376E8,YES,CERTIFIED,0.0,7819
381918290,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/test77.xml,5159591,AProVE,20177,certified,302125,complete,3.893622324,1.82480716705,2.94555648E8,YES,CERTIFIED,0.0,12860
381918294,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/cade12.xml,5159592,AProVE,20177,certified,302125,timeout (wallclock),569.561510653,301.008027077,1.5677702144E10,MAYBE,-,-,-
381918298,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/wiehe14.xml,5159593,AProVE,20177,certified,302125,complete,6.754889855,2.52880716324,4.619264E8,YES,CERTIFIED,0.0,61951
381918302,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/innermost5.xml,5159594,AProVE,20177,certified,302125,complete,11.331290751,4.46137785912,8.88827904E8,MAYBE,-,-,-
381918306,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/n001.xml,5159595,AProVE,20177,certified,302125,complete,5.890829671,2.2728831768,6.3264768E8,NO,CERTIFIED,0.0,6331
381918310,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/test75.xml,5159596,AProVE,20177,certified,302125,complete,3.8910724,1.8618478775,2.48799232E8,YES,CERTIFIED,0.0,4984
381918314,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/cade13.xml,5159597,AProVE,20177,certified,302125,complete,5.931477551,2.34663105011,3.06335744E8,YES,CERTIFIED,0.0,60706
381918318,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/wiehe13.xml,5159598,AProVE,20177,certified,302125,complete,6.02009009,2.31532907486,3.8934528E8,YES,CERTIFIED,0.0,56096
381918322,S-TRS Innermost certified-2018-07-14 10:59:37.827924 UTC/TRS_Innermost/Mixed_innermost/muladd.xml,5159599,AProVE,20177,certified,302125,complete,4.69795349,6.51469111443,2.60268032E8,NO,CERTIFIED,0.0,9017
