pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381732605,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/kusakari1.xml,5164357,AProVE,20177,standard,302124,complete,6.582179127,2.74297499657,3.04529408E8,YES,5312
381732609,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/kusakari1.xml,5164357,NaTT,12933,Default,228408,complete,0.029562852,0.0281929969788,5521408.0,YES,1248
381732613,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/kusakari1.xml,5164357,muterm 5.18,9061,default,163986,complete,0.239467217,0.270412921906,4374528.0,YES,9252
381732617,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nosorts.xml,5164358,AProVE,20177,standard,302124,complete,13.241481506,6.03158998489,9.13461248E8,NO,32682
381732621,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nosorts.xml,5164358,NaTT,12933,Default,228408,complete,0.229999465,0.180634021759,2.2724608E7,NO,5557
381732625,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nosorts.xml,5164358,muterm 5.18,9061,default,163986,complete,123.033919082,137.531757116,1.9161088E7,MAYBE,245
381732629,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_complete-noand.xml,5164359,AProVE,20177,standard,302124,timeout (wallclock),362.176604357,301.007516861,6.620553216E9,YES,204561
381732633,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_complete-noand.xml,5164359,NaTT,12933,Default,228408,complete,16.315541962,15.9776608944,7.6898304E7,MAYBE,26445
381732637,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_complete-noand.xml,5164359,muterm 5.18,9061,default,163986,timeout (wallclock),349.748053322,301.006812096,1.19844864E8,MAYBE,242
381732641,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/boolean_rings.xml,5164360,AProVE,20177,standard,302124,complete,3.110039423,1.51342511177,2.06381056E8,YES,1603
381732645,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/boolean_rings.xml,5164360,NaTT,12933,Default,228408,complete,0.091902853,0.0735468864441,9773056.0,YES,4285
381732649,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/boolean_rings.xml,5164360,muterm 5.18,9061,default,163986,complete,3.143017375,3.46125102043,1.1395072E7,YES,43407
381732653,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/intersect.xml,5164361,AProVE,20177,standard,302124,complete,3.101209837,1.53176212311,2.07945728E8,YES,1542
381732656,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/intersect.xml,5164361,NaTT,12933,Default,228408,complete,0.157446873,0.123026132584,1.1177984E7,YES,3683
381732659,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/intersect.xml,5164361,muterm 5.18,9061,default,163986,complete,3.040766973,3.33579993248,1.5654912E7,YES,34885
381732662,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_2.xml,5164362,AProVE,20177,standard,302124,complete,4.252411223,1.80990409851,2.4485888E8,YES,2988
381732665,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_2.xml,5164362,NaTT,12933,Default,228408,complete,0.030744822,0.0275797843933,6930432.0,YES,1460
381732668,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_2.xml,5164362,muterm 5.18,9061,default,163986,complete,0.093044401,0.0925841331482,4124672.0,YES,6930
381732671,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_complete-noand.xml,5164363,AProVE,20177,standard,302124,complete,65.616111853,42.7510790825,4.12196864E9,YES,247942
381732674,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_complete-noand.xml,5164363,NaTT,12933,Default,228408,complete,6.947700555,6.62527298927,7.3945088E7,MAYBE,24084
381732677,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_complete-noand.xml,5164363,muterm 5.18,9061,default,163986,complete,26.45303219,27.6728050709,3.7482496E7,YES,514656
381732680,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds.xml,5164364,AProVE,20177,standard,302124,complete,25.485692317,11.1536149979,2.570252288E9,YES,90638
381732683,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds.xml,5164364,NaTT,12933,Default,228408,complete,1.180241557,1.08541917801,2.9540352E7,MAYBE,8629
381732686,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds.xml,5164364,muterm 5.18,9061,default,163986,complete,17.90250706,18.4988508224,7.0213632E7,YES,129436
381732689,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_4.xml,5164365,AProVE,20177,standard,302124,complete,4.140004607,1.73745918274,2.89251328E8,YES,1228
381732692,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_4.xml,5164365,NaTT,12933,Default,228408,complete,0.038120514,0.0357649326324,6828032.0,YES,2309
381732695,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_4.xml,5164365,muterm 5.18,9061,default,163986,complete,0.369268908,0.467303037643,5525504.0,YES,30218
381732698,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nokinds.xml,5164366,AProVE,20177,standard,302124,complete,19.772150422,7.54628109932,1.874497536E9,YES,109153
381732701,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nokinds.xml,5164366,NaTT,12933,Default,228408,complete,0.456136091,0.360682010651,2.52928E7,MAYBE,7156
381732704,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nokinds.xml,5164366,muterm 5.18,9061,default,163986,complete,3.904423552,4.71465706825,2.4735744E7,YES,159747
381732707,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/sequent_modulo.xml,5164367,AProVE,20177,standard,302124,complete,24.2922255,10.5953040123,2.429136896E9,YES,132798
381732710,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/sequent_modulo.xml,5164367,NaTT,12933,Default,228408,complete,18.473635081,15.0016920567,2.12516864E8,MAYBE,14250
381732713,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/sequent_modulo.xml,5164367,muterm 5.18,9061,default,163986,complete,102.668850812,103.203170061,3.71314688E8,YES,367450
381732716,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_3.xml,5164368,AProVE,20177,standard,302124,complete,4.423778999,1.99086999893,2.17346048E8,YES,5779
381732719,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_3.xml,5164368,NaTT,12933,Default,228408,complete,0.051600183,0.0468440055847,7770112.0,YES,2329
381732722,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_3.xml,5164368,muterm 5.18,9061,default,163986,complete,0.228958485,0.240864038467,3989504.0,YES,10235
381732725,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds-noand.xml,5164369,AProVE,20177,standard,302124,complete,20.603814861,7.84519386292,1.402359808E9,YES,106956
381732727,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds-noand.xml,5164369,NaTT,12933,Default,228408,complete,0.693999416,0.618453025818,3.8588416E7,MAYBE,11128
381732729,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds-noand.xml,5164369,muterm 5.18,9061,default,163986,complete,17.3808705,18.8222150803,5.0180096E7,YES,123763
381732731,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nokinds-noand.xml,5164370,AProVE,20177,standard,302124,complete,15.796020936,5.67712593079,1.110085632E9,YES,126302
381732733,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nokinds-noand.xml,5164370,NaTT,12933,Default,228408,complete,0.687346343,0.558526992798,3.6302848E7,MAYBE,9142
381732735,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nokinds-noand.xml,5164370,muterm 5.18,9061,default,163986,complete,6.011184435,6.88692903519,2.0189184E7,YES,175010
381732737,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/differ.xml,5164371,AProVE,20177,standard,302124,complete,3.343025616,1.60335493088,2.08818176E8,YES,1551
381732739,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/differ.xml,5164371,NaTT,12933,Default,228408,complete,0.03584451,0.0319678783417,1.0944512E7,YES,2659
381732741,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/differ.xml,5164371,muterm 5.18,9061,default,163986,complete,0.300712408,0.393856048584,5324800.0,YES,5013
381732743,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nosorts.xml,5164372,AProVE,20177,standard,302124,complete,4.36075447,1.89785885811,2.40779264E8,YES,9158
381732745,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nosorts.xml,5164372,NaTT,12933,Default,228408,complete,0.130800528,0.10018491745,1.5314944E7,MAYBE,3667
381732747,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/BAG_nosorts.xml,5164372,muterm 5.18,9061,default,163986,complete,2.33780915,2.60429191589,1.3242368E7,YES,104540
381732749,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_5.xml,5164373,AProVE,20177,standard,302124,complete,3.299261176,1.54435300827,2.1721088E8,YES,1128
381732751,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_5.xml,5164373,NaTT,12933,Default,228408,complete,0.01889625,0.0196299552917,6406144.0,YES,519
381732753,S-TRS Equational-2018-07-12 01:13:34.780517 UTC/TRS_Equational/Mixed_AC/YWHM14_5.xml,5164373,muterm 5.18,9061,default,163986,complete,0.043347752,0.0509059429169,3203072.0,YES,1670
