pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381904068,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z13.xml,5167315,tct 2018-07-13,20651,tct_rci,304379,complete,1070.21519811,294.223816872,3.377872896E9,"WORST_CASE(Omega(n^1),?)",1488
381904097,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z17.xml,5167316,AProVE,20177,complexity,302122,complete,1107.49986801,293.945646048,1.5612112896E10,"WORST_CASE(Omega(n^1), ?),3089
381904126,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z17.xml,5167316,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1068.45898219,294.202681065,3.816620032E9,"WORST_CASE(Omega(n^1),?)",1430
381904155,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z27.xml,5167317,AProVE,20177,complexity,302122,complete,648.735046708,291.456037045,1.2221698048E10,"WORST_CASE(Omega(n^1), ?)",3269
381904184,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z27.xml,5167317,tct 2018-07-13,20651,tct_rci,304379,complete,646.835922748,175.603187084,1.54966016E9,"WORST_CASE(Omega(n^1),?)",1499
381904212,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z23.xml,5167318,AProVE,20177,complexity,302122,complete,6.684495821,4.27500200272,6.37947904E8,"WORST_CASE(Omega(n^1), O(n^1)),5195
381904239,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z23.xml,5167318,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1107.84729347,295.689760923,6.347382784E9,"WORST_CASE(Omega(n^1),?)",1530
381904265,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z12.xml,5167319,AProVE,20177,complexity,302122,complete,1073.20201258,292.723200083,1.543866368E10,"WORST_CASE(Omega(n^1), ?),3205
381904290,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z12.xml,5167319,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1315.72456645,294.244729996,5.935710208E10,"WORST_CASE(Omega(n^1),?)",1493
381904315,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z15.xml,5167320,AProVE,20177,complexity,302122,complete,1118.01552437,292.836131096,1.5408422912E10,"WORST_CASE(Omega(n^1), ?),3733
381904340,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z15.xml,5167320,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1131.24091416,294.245799065,2.565951488E9,"WORST_CASE(Omega(n^1),?)",1406
381904365,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z14.xml,5167321,AProVE,20177,complexity,302122,complete,1042.14189357,294.839614868,1.5509684224E10,"WORST_CASE(Omega(n^1), ?)",3101
381904388,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z14.xml,5167321,tct 2018-07-13,20651,tct_rci,304379,complete,1087.34304784,294.100431204,3.397935104E9,"WORST_CASE(Omega(n^1),?)",1421
381904411,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z24.xml,5167322,AProVE,20177,complexity,302122,complete,1147.74078977,296.220171928,1.53388032E10,"WORST_CASE(Omega(n^1), ?)",4338
381904433,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z24.xml,5167322,tct 2018-07-13,20651,tct_rci,304379,run script error,0.0,0.0,0.0,--,-
381904455,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z18.xml,5167323,AProVE,20177,complexity,302122,complete,1094.14919072,293.286340952,1.5790784512E10,"WORST_CASE(Omega(n^1), ?)",3713
381904474,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Zantema_05/z18.xml,5167323,tct 2018-07-13,20651,tct_rci,304379,run script error,0.0,0.0,0.0,--,-
