pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,output-size
381728917,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/aprove2.xml,5163224,AProVE,20177,certified,302125,complete,25.848567686,7.30478906631,2.954760192E9,YES,CERTIFIED,0.0,33159
381728931,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/aprove2.xml,5163224,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,31.696781968,8.24140691757,1.190817792E9,YES,CERTIFIED,0.0,40754
381728945,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox3.xml,5163225,AProVE,20177,certified,302125,complete,70.920138327,19.1478219032,5.335232512E9,YES,CERTIFIED,0.0,22338
381728959,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox3.xml,5163225,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,233.68507622,67.3545510769,2.160975872E9,MAYBE,-,-,-
381728973,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox4.xml,5163226,AProVE,20177,certified,302125,complete,41.041847056,12.1762139797,4.205985792E9,YES,CERTIFIED,0.0,27567
381728987,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox4.xml,5163226,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,27.336557935,7.15580391884,8.3830784E8,YES,CERTIFIED,0.0,20764
381729001,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/matchbox1.xml,5163227,AProVE,20177,certified,302125,complete,36.455172184,10.3867120743,4.19014656E9,YES,CERTIFIED,0.0,30090
381729015,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/matchbox1.xml,5163227,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,4.596800022,1.44984221458,6.50801152E8,YES,CERTIFIED,0.0,16901
381729029,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/aprove3.xml,5163228,AProVE,20177,certified,302125,complete,15.835206267,5.03577494621,1.75640576E9,YES,CERTIFIED,0.0,36493
381729043,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/aprove3.xml,5163228,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,21.967811583,5.77783322334,1.2034048E9,YES,CERTIFIED,0.0,54515
381729057,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/aprove1.xml,5163229,AProVE,20177,certified,302125,complete,28.776115884,8.19779801369,3.988250624E9,YES,CERTIFIED,0.0,50632
381729071,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/aprove1.xml,5163229,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,32.696051814,8.50377392769,1.25282304E9,YES,CERTIFIED,0.0,36985
381729085,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/torpa2.xml,5163230,AProVE,20177,certified,302125,complete,13.216628683,4.33571219444,1.046253568E9,YES,CERTIFIED,0.0,11331
381729099,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/torpa2.xml,5163230,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,53.771238973,13.7351851463,1.022373888E9,YES,CERTIFIED,0.0,16786
381729113,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox2.xml,5163231,AProVE,20177,certified,302125,complete,1165.33316557,292.334877968,2.0526608384E10,MAYBE,-,-,-
381729127,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox2.xml,5163231,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,233.762605512,67.3562250137,2.045816832E9,MAYBE,-,-,-
381729141,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox5.xml,5163232,AProVE,20177,certified,302125,complete,39.742583918,11.2532191277,4.19794944E9,YES,CERTIFIED,0.0,32773
381729155,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/jambox5.xml,5163232,ttt2-1.17+nonreach,20343,ttt2-1.17+nonreach-cert,303182,complete,234.437187402,67.3629300594,3.23510272E9,MAYBE,-,-,-
381729169,S-SRS Standard certified-2018-07-12 01:11:21.081532 UTC/SRS_Standard/Secret_05_SRS/torpa3.xml,5163233,AProVE,20177,certified,302125,complete,8.860432199,3.11411309242,7.22972672E8,YES,CERTIFIED,0.0,16424
